PROGRAM,RECIPIENT_NAME,RECIPIENT_LOCATION_SA2_NAME_2016,RECIPIENT_LOCATION_SA3_NAME_2016,RECIPIENT_LOCATION_SA4_Name_2016,RECIPIENT_LOCATION_GCCSA_NAME_2016,PROJECT_TITLE_OUTLINE,RESEARCHER_FELLOW,SECTOR,PARTNER,APPROVAL_DATE,FUNDING_COMMITTED_EXGST,QLD_SCIENCE_PRIORITY,PROJECT_TIMEFRAME_MONTH,ROUND_NUMBER
Young Starters Fund,Helensvale State High School,Helensvale,Ormeau - Oxenford,Gold Coast,Rest of Qld,Startup Apprentice Eight Week Accelerator Program,,Entrepreneurialism,Humaneity (NFP),03/08/2016,18500,,2,2
Young Starters Fund,Hope Centre Services,Newstead - Bowen Hills,Brisbane Inner - North,Brisbane Inner City,Greater Brisbane,Academy for Young Entrepreneurs education program aimed at empowering secondary and senior primary students in entrepreneurial pathways.,,Entrepreneurialism,Australian Catholic University,03/08/2016,9500,,3,2
Young Starters Fund,Kixstaart Indigenous Business Pty Ltd,Wurtulla - Birtinya,Caloundra,Sunshine Coast,Rest of Qld,"Australia’s First Indigenous Startup Weekend to promote and build Indigenous entrepreneurship capabilities within Queensland by helping 18–24 year old Aboriginal and Torres Strait Islander people acquire skills, opportunities and support to identify business opportunities.",,Entrepreneurialism,Queensland University of Technology Oodgeroo Unit|State Library of Queensland|Techstars,21/06/2016,13500,,0.11,1
Young Starters Fund,Marist Youth Care Limited,Paddington - Milton,Brisbane Inner - West,Brisbane Inner City,Greater Brisbane,"We can be heroes program consists of seven startup workshops to identify and build entrepreneurial and startup skills in young Queenslanders. This project targets disengaged youth and their collaborators including the Brisbane Youth Service, Edgeware Creative and Little Tokyo Two.",,Entrepreneurialism,Little Tokyo Two|Brisbane Youth Service|Edgeware Creative|Jerry Marston,07/04/2016,19270,,3,1
Young Starters Fund,Marist Youth Care Limited,South Brisbane,Brisbane Inner,Brisbane Inner City,Greater Brisbane,"We can be heroes program consists of seven startup workshops to identify and build entrepreneurial and startup skills in young Queenslanders. This project targets disengaged youth and their collaborators including the Brisbane Youth Service, Edgeware Creative and Little Tokyo Two.",,Entrepreneurialism,Queensland University of Technology Business School|University of Queensland Business School|Qnect|The Edge SLQ|Teach for Australia|Queensland Social Enterprise Council,21/06/2016,10607,,0.11,1
Young Starters Fund,Mountain Creek State High School,Mountain Creek,Buderim,Sunshine Coast,Rest of Qld,"Startup-ED, a two-phase project incorporating lean startup principles and lean launchpad methodology, with a two day innovation bootcamp, followed by ongoing coaching support for teachers over the following eight weeks.",,Entrepreneurialism,"Innovation Centre Sunshine Coast|Entrepreneurship Department, University of the Sunshine Coast|Spark Bureau",20/03/2016,20000,,5,1
Young Starters Fund,Palm Beach-Currumbin State High School,Palm Beach,Coolangatta,Gold Coast,Rest of Qld,‘Entrepreneurial Education Program’ consisting of an eight week program comprising two 70 minute sessions per week for approximately 110 students in a startup workshop format. The program is aimed at Year 10 students in partnership with Startup Apprentice and Startup Creative,,Entrepreneurialism,Start Up Apprentice|Start Up Creative|PBC Business Alliance,07/04/2016,20000,,2,1
Young Starters Fund,Queensland University of Technology,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,"Startup Hatch – Bringing Ideas to Reality, a 30-day project startup bootcamp focused on student workshops, pitching ideas and resulting in a future startup forum.",,Entrepreneurialism,Queensland University of Technology Business School|Creative Enterprise Australia|Queensland University of Technology Bluebox|Pwc Chair of Digital Economy|Microsoft|Assemblus|Redeye Apps,20/03/2016,20000,,1,1
Young Starters Fund,Queensland University of Technology,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,"Startup Hatch – Bringing Ideas to Reality, a 30-day project startup bootcamp focused on student workshops, pitching ideas and resulting in a future startup forum.",,Entrepreneurialism,Queensland University of Technology Law Faculty|Little Tokyo Two ,03/08/2016,14000,,0.11,2
Young Starters Fund,Queensland University of Technology,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,"Startup Hatch – Bringing Ideas to Reality, a 30-day project startup bootcamp focused on student workshops, pitching ideas and resulting in a future startup forum.",,Entrepreneurialism,"Media Super, The Good Beer Company",01/04/2016,4085,,0.11,1
Young Starters Fund,South Bank Business Association Incorporated,South Brisbane,Brisbane Inner,Brisbane Inner City,Greater Brisbane,"The Big 5 – 5 Big Learnings from Industry Experts startup forum which will explore the professional journeys of industry experts within the creative, tech and startup space.",,Entrepreneurialsm,"Griffith University, TAFE Queensland, State Library of Queensland",28/07/2016,7500,,0.04,2
Young Starters Fund,Southern Downs Regional Council,Warwick,Granite Belt,Darling Downs - Maranoa,Rest of Qld,Southern Downs INCubate Twilight Startup Workshop specifically designed to build the entrepreneurial skills and mindset of young people aged 15 and over.,,Entrepreneurialism,Strategenics,28/07/2016,7000,,4,2
Young Starters Fund,Startup STEAM Inc,Mooloolaba - Alexandra Headland,Maroochy,Sunshine Coast,Rest of Qld,Startup Weekend for Youth (Sunshine Coast) 2016 provides an avenue for students to further develop and increase awareness around the commercialisation options for the skillsets they will develop in schools and at home around the new Digital Technologies course being implemented in Queensland from 2016. Participants will also be introduced to startup methodology.,,Entrepreneurialism,Sunshine Coast Council|Telstra|Digital Careers|Innovate Media,18/02/2016,7500,,5,1
Young Starters Fund,Tech Girls Movement Pty Ltd,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,"‘2016 Showcase for the Search for the Next Tech Girl Superhero’ one day event at QUT Brisbane. The showcase is the culmination of one of the core activities of the Tech Girls Movement, which is a youth entrepreneurship program in which they promote entrepreneurship as an alternative employment pathway to a career in STEM.",,Entrepreneurialism,Queensland University of Technology|Magformers|Google,07/04/2016,20000,,0.04,1
Young Starters Fund,The Space Australasia Pty Ltd,Trinity Beach - Smithfield,Cairns - North,Cairns,Rest of Qld,"FNQ Schools Startup Summit 2016 – startup bootcamp is a chance for students, teachers and parents to come together and learn exactly where they can best position these new found skills being developed in STEAM education models.",,Entrepreneurialism,,26/09/2016,4233,,0.11,3
Young Starters Fund,Time Masters (Australia) Pty Limited,Runaway Bay,Gold Coast - North,Gold Coast,Rest of Qld,"Open Your Eyes To Cash’, Gold Coast startup workshop aimed at youth.",,Entrepreneurialism,"iPledge|Shared Marketing|St George Bank|Entrepreneurs Infrastructure Program|Efficiency Experts|Mentoring for Growth, Department of Tourism, Major Events, Small Business and the Commonwealth Games|Lite Raise",18/02/2016,12000,,0.04,1
Young Starters Fund,Time Masters (Australia) Pty Limited,Runaway Bay,Gold Coast - North,Gold Coast,Rest of Qld,"Open Your Eyes To Cash’, Gold Coast startup workshop aimed at youth.",,Entrepreneurialism,"iPledge|Shared Marketing|St George Bank|Entrepreneurs Infrastructure Program|Efficiency Experts|Mentoring for Growth, Department of Tourism, Major Events, Small Business and the Commonwealth Games|Lite Raise",21/06/2016,11500,,0.04,1
Young Starters Fund,Townsville Region Indigenous Business Network,Garbutt - West End,Townsville,Townsville,Rest of Qld,"Academy for Young Entrepreneurs in Thuringowa and Kirwan State High Schools. The program encourages students to create ideas, which solve a problem, with a strong learning experience to equip them later in life.",,Entrepreneurialism,,26/09/2016,19000,,7,3
Young Starters Fund,University of the Sunshine Coast,Sippy Downs,Buderim,Sunshine Coast,Rest of Qld,"The Empowering Young Entrepreneurs program consists of a series of experiential entrepreneurship activities, including Startup Weekend Sunshine Coast, a series of informal meetups, 2 full-day capacity building workshops and an online bootcamp",,Entrepreneurialism,Spark Bureau|Innovation Centre Sunshine Coast|Sunshine Coast Council| Silicon Coast,07/04/2016,20000,,9,1
Young Starters Fund,Upper Coomera  P-12 State College,Coomera,Ormeau - Oxenford,Gold Coast,Rest of Qld,Startup Apprentice Eight Week Accelerator Program delivered as part of the Year 10 curriculum. An action based entrepreneurial education programs teaches the ‘Silicon Valley’ lean approach to starting a business.,,Entrepreneurialsm,Startup Apprentice,28/07/2016,17000,,4,2
Business Development Fund,JESI Management Solutions,,,Townsville,Rest of Qld,"Funding will increase the companies product development in innovative end-to-end journey management software.  The company's innovative end-to-end journet management software enables employers to safegaurd their employees whenever travelling, regardless of where they are in the world.",,Tech Firm (care industry software),Future Now Ventures,21/06/2016,500000,,,1
Business Development Fund,Tritium,,,Brisbane Inner City,Greater Brisbane,"Funding will assist this world-leading Queensland business to bring its innovative tech products onto the market sooner. Their fast charging technology is providing drivers of electric vehicles greater convenience to charge their cars anywhere. With funding, they will expand their research and development, manufacturing and sales workforce, as well as finalise expansion at their new manufacturing facilities in Brisbane.",,Renewable energy,St Baker Energy Innovation Trust and the Varley Group,09/06/2016,2500000,,,1
Business Development Fund,MiCare Global,,,Brisbane Inner City,Greater Brisbane,"Funding will be used to enhance the development and marketing of the companty's software platform for the care sector.  The company's integrated software platform aggregates multiple apps, and functions, across areas such as communication, administration and care management, into one system to help service providers streamline their operational effectiveness and deliver a greater quality of service to clients.",,Tech Firm (care industry software),Concept Zoo|Concept Safety System Holdings,09/11/2016,250000,,,1
Business Development Fund,EFTLab,,,Brisbane Inner City,Greater Brisbane,"Funding will be used to accelerate development of the company's electronic payments product for the banking industry as well as to extend its customer support.  The company’s flexible, customisable solutions help large merchants, banks, card issuers and other financial institutions develop and test their electronic payment processing systems daily.",,Tech Firm (Electronic Payments Industry),Deb and Nick Family Trust,09/11/2016,125000,,,1
Create Queensland,Sara Holmes ,,,,Greater Brisbane,"Sara Holmes is the creator of SeoulSarang—a fun, light-hearted Korean language channel with English subtitles focusing on travel, food and Australian English tips. Sara tries to introduce her viewers to new things and positively promote Australia and Korea. Sara is going to create a tourism series on the topic Australia vs Korea. The series will be a fun and positive comparison of differences between the countries and cultures.",,Entrepreneurship,,09/08/2016,30000,,12,1
Create Queensland,Tom Thum,,,,Greater Brisbane,"Tom Thum is a world-renowned beatboxer who uses his YouTube channel to demonstrate the amazing capabilities of his vocal chords. Tom is going to discover the science behind the strange noises he can make and create a documentary-style short series that examines the human voice combining interviews, medical footage, illustrations and narration. ",,Entrepreneurship,,09/08/2016,30000,,12,1
Create Queensland,Elly Awesome,,,,Greater Brisbane,"Elly Awesome makes comic videos and reviews on food, travel, lifestyle, technology and apps. Elly plans to create a series called 'Show me your food' where she gets to know her guests as they prepare and eat a meal together. This light-hearted series aims to promote acceptance of diversity. ",,Entrepreneurship,,09/08/2016,30000,,12,1
Create Queensland,Stephanie Hames,,,,Rest of Qld,Stephanie Hames is a makeup artist who trained in beauty and special effects makeup and uses her skills to create video tutorials for her SasEffects channel. Her most popular video with more than 2.5 million views shows you how to create a chopped off finger special effect. Stephanie plans to frighten audiences with a series of short horror films and then go behind the scenes to show how the makeup was applied and talk about their inspiration behind the characters she created.,,Entrepreneurship,,09/08/2016,10000,,12,1
Create Queensland,Alysse Paris,,,,Rest of Qld,"Alysse Paris is a comedy skit and parody channel that focuses on YouTube-trending topics, pop-culture and world events. Alysse will make a six-part fictional series that parodies YouTube culture through the life of one Brisbane's biggest self-proclaimed beauty gurus Madison Herring, aka SexybubbleGumBritneySpearsStar49.",,Entrepreneurship,,09/08/2016,10000,,12,1
Johnson & Johnson Quick Fire Challenge,Atomo Diagnostics Pty Ltd ,,,,Greater Sydney,"With the prizemoney, Sydney based Atomo Diagnostics will work with Brisbane based Anteo Technologies Pty Ltd to develop a Rapid Troponin Lateral Flow Test Strip to support lateral flow based point of care testing (POCT) for the diagnosis of heart attacks.",,Medical Devices,,14/05/2016,100000,,12,
Johnson & Johnson Quick Fire Challenge,Golden Biotechnology Corporation,,,,,"Taiwan-based Golden Biotechnology Corporation will look to do pre-clinical testing of a chemical compound, called Antroquinonol, which offers up hope as a possible drug for the treatment of Alzheimer’s disease. ",,Pharmaceuticals,,14/05/2016,100000,,12,
Johnson & Johnson Quick Fire Challenge,Eikonic R and D Pty Ltd,,,,Greater Melbourne,"Using nanotechnology, Melbourne-based Eikonic R&D Pty Ltd has identified a chemical compound that targets the class of bacteria responsible for gum disease and tooth decay. ",,Consumer Devices,,14/05/2016,100000,,12,
